date,distance,time,label
1 Apr 2013,2,0:10:59,
3 Apr 2013,2.8,0:15:41,
5 Apr 2013,3.6,0:19:41,
6 Apr 2013,4,0:21:00,
8 Apr 2013,5.2,0:26:00,
9 Apr 2013,6.6,0:35:45,
11 Apr 2013,5.5,0:25:02,
14 Apr 2013,5.6,0:25:51,
16 Apr 2013,5.1,0:23:02,
17 Apr 2013,6.2,0:27:54,
19 Apr 2013,4.2,0:19:15,
21 Apr 2013,8.2,0:38:24,
23 Apr 2013,1.9,0:10:00,
24 Apr 2013,6.1,0:29:17,
26 Apr 2013,7.2,0:33:07,
28 Apr 2013,10.4,0:47:40,
6 May 2013,4.3,0:22:00,
9 May 2013,5.1,0:21:51,
12 May 2013,5.3,0:25:48,
15 May 2013,8.1,0:39:17,
16 May 2013,12,1:08:24,
18 May 2013,10.3,0:54:15,
20 May 2013,10.6,0:54:14,
22 May 2013,5.3,0:27:50,
25 May 2013,4.1,0:19:37,
26 May 2013,4.8,0:19:07,
28 May 2013,14,1:16:04,
31 May 2013,10,0:53:50,
3 Jun 2013,7.4,0:36:23,
5 Jun 2013,8,0:40:48,
11 Jun 2013,10,0:53:40,
13 Jun 2013,8,0:43:04,
16 Jun 2013,8,0:39:36,
20 Jun 2013,12.5,1:03:20,
24 Jun 2013,5,0:24:40,
26 Jun 2013,10,0:50:50,
1 Jul 2013,7.5,0:37:53,
3 Jul 2013,12.5,1:06:28,
5 Jul 2013,7.5,0:37:45,
10 Jul 2013,8,0:43:12,
14 Jul 2013,1.6,0:09:52,INJURY LVIV
20 Jul 2013,7.2,0:36:07,
23 Jul 2013,8.7,0:44:48,
5 Aug 2013,7,0:38:02,
10 Aug 2013,10.3,0:57:20,
13 Aug 2013,7,0:37:34,
19 Aug 2013,8.4,0:45:47,
28 Aug 2013,5,0:23:40,
9 Sep 2013,5.5,0:26:46,
11 Sep 2013,9,0:43:03,
14 Sep 2013,10,0:54:50,
16 Sep 2013,8,0:36:40,
19 Sep 2013,5,0:32:55,
22 Sep 2013,11,0:54:27,
23 Sep 2013,8,0:35:28,
25 Sep 2013,5,0:32:35,
29 Sep 2013,12,1:09:48,
30 Sep 2013,5.8,0:27:45,
6 Oct 2013,13.1,1:08:20,
13 Oct 2013,14,1:08:22,
15 Oct 2013,10,0:46:50,
20 Oct 2013,16,1:19:44,
22 Oct 2013,10.3,0:48:25,
25 Oct 2013,7.2,0:42:07,
27 Oct 2013,18,1:29:42,
29 Oct 2013,7.5,0:39:53,
3 Nov 2013,16.1,1:19:26,
5 Nov 2013,10,0:50:50,
8 Nov 2013,6.1,0:33:39,
10 Nov 2013,10,0:48:50,
12 Nov 2013,6.2,0:34:31,
17 Nov 2013,21.1,1:38:28,HALFMARATHON 21.1 KM\n 01:38:35\n PARIS FRANCE
12 Dec 2013,5.3,0:30:34,
24 Dec 2013,6,0:31:42,
25 Dec 2013,7,0:36:10,
29 Dec 2013,7,0:37:27,
5 Jan 2014,7.3,0:37:14,
11 Jan 2014,7,0:38:16,
18 Jan 2014,7,0:35:42,
21 Feb 2014,7,0:37:55,
24 Feb 2014,7.2,0:33:29,
2 Mar 2014,6.2,0:32:21,
5 Mar 2014,6.1,0:29:53,
9 Mar 2014,10.2,0:53:02,
14 Mar 2014,10.5,0:51:59,
17 Mar 2014,5,0:31:30,
21 Mar 2014,8,0:40:40,
23 Mar 2014,6,0:28:24,
28 Mar 2014,7,0:34:11,
30 Mar 2014,14,1:13:02,